run,model_tag,level,rep,headline_model,mape_pct,rmse_mw,mae_mw,agent_reported_mape,source,alignment,reason
fable51_L1_r1,fable51,L1,1,LightGBM (calendar + holiday + lag features),3.963,2563.9,2168.0,4.0,recomputed,timestamp (window shifted -1 h from UTC week),the agent's final message names LightGBM as the forecast and forecast_jan2020.csv::forecast_mw as its output; recomputed 3.963 vs reported 4.0
fable51_L1_r2,fable51,L1,2,"LightGBM (calendar + holiday + lag features, quantile band)",3.284,2324.7,1826.8,3.3,recomputed,timestamp (window shifted -1 h from UTC week),final message names LightGBM 3.3% and the CSV column forecast_mw; recomputed 3.284
fable51_L1_r3,fable51,L1,3,LightGBM 3-seed ensemble (after a post-test feature change),4.489,3011.8,2339.7,4.5,recomputed,timestamp (window shifted -1 h from UTC week),"final message names LightGBM (3-seed mean) as the pick, column lightgbm; recomputed 4.489 vs reported 4.5"
fable51_L2_r1,fable51,L2,1,LightGBM (calendar + holiday + weekly-lag features),2.298,1543.3,1246.7,2.3,recomputed,timestamp,final message reports 2.3% MAPE for the model and names forecast_2020_w1.csv; recomputed 2.298
fable51_L2_r2,fable51,L2,2,"LightGBM (calendar + holiday + lag features), pre-final",5.352,3341.4,2869.0,5.35,recomputed,timestamp,the only forecast the run wrote; the 5.35% figure appears in the log as the agent's own score for it; recomputed 5.352
fable51_L2_r3,fable51,L2,3,HistGradientBoostingRegressor (scikit-learn; calendar + holiday + lag features),3.205,2268.3,1736.6,3.2,recomputed,timestamp,final message reports 3.2% for the model and names forecast_2020_w1.csv; recomputed 3.205
opus5_L1_r1,opus5,L1,1,"Ridge regression on log load, calendar-only features, level correction, empirical 80% band",3.071,2248.9,1726.6,3.07,recomputed,timestamp (window shifted -1 h from UTC week),final message reports MAPE 3.07% for the shipped ridge model and names forecast_2020_jan_w1.csv; recomputed 3.071 with Europe/Berlin for the naive local column
opus5_L2_r1,opus5,L2,1,LightGBM with a workday-run feature added after seeing the target-week error (no forecast file),3.4,,,3.4,agent_reported,,"design rule 5.1: the headline is what the agent put forward; it is not recoverable from disk, so it is shown as agent-reported with a hollow marker"
opus5_L3_r1,opus5,L3,1,"LightGBM (calendar + holiday + lag features, recursive 168-step), winner of six",5.457,3787.3,3016.1,5.46,recomputed,timestamp,"the agent's final message and metrics.json name LightGBM as the winner at 5.46 percent; the run wrote no forecast CSV, so the point forecast was read out of the agent's own artifacts/lightgbm.pkl (ForecastResult.point_forecast, 168 UTC-stamped hours) by scripts/extract_pickle_forecast.py into derived/lightgbm_test_forecast.csv; recomputed 5.457"
fable51_L3_r1,fable51,L3,1,"LightGBM (calendar + holiday + lag and rolling features, recursive 168-step), winner of six",5.025,3712.3,2800.7,5.03,recomputed,timestamp,the agent's final message and metrics.json name LightGBM as the winner at 5.03 percent and its forecasts/lightgbm.csv holds the 168 UTC-stamped test hours in the column point; recomputed 5.025
fable51_L3_r2,fable51,L3,2,"LightGBM (calendar + holiday + lag and rolling features, recursive 168-step), winner of six",4.993,3616.4,2760.7,4.99,recomputed,timestamp,"the agent's final message and metrics.json name LightGBM as the winner at 4.99 percent; the run wrote no forecast CSV, so the point and quantile forecast were read out of the agent's own code/_scratch/results/lightgbm.pkl (ForecastResult.point, 168 hours on the naive index its code documents as UTC, localised with --naive-tz UTC) by scripts/extract_pickle_forecast.py into derived/lightgbm_test_forecast.csv; recomputed 4.993"
fable51_L3_r3,fable51,L3,3,"LightGBM (calendar + holiday + lag and rolling features, recursive 168-step), winner of six",5.532,3814.3,3046.1,5.53,recomputed,timestamp,"the agent's final message and metrics.json name LightGBM as the winner at 5.53 percent and its forecasts.csv holds every model's 168 UTC-stamped test-hour point and quantile forecasts beside the observed load; scored on lightgbm_point_mw, recomputed 5.532"
astra_L1_r1,astra,L1,1,none (asked a clarifying question and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
astra_L1_r2,astra,L1,2,none (asked a clarifying question and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
astra_L1_r3,astra,L1,3,none (asked a clarifying question and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
astra_L2_r1,astra,L2,1,none (asked a clarifying question and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
astra_L2_r2,astra,L2,2,none (asked a clarifying question and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
astra_L2_r3,astra,L2,3,none (asked a clarifying question and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
astra_L3_r1,astra,L3,1,none (asked a clarifying question and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
astra_L3_r2,astra,L3,2,none (asked a clarifying question and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
astra_L3_r3,astra,L3,3,none (asked a clarifying question and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
sol_L1_r1,sol,L1,1,"LightGBM ensemble (three variants; calendar, holiday, level, weekly-lag and prior-year features)",3.562,2374.6,1888.7,3.56,recomputed,timestamp,the agent's final message names forecast_jan_2020.csv as the forecast and the ensemble as the method; recomputed 3.562 vs reported 3.56
sol_L1_r2,sol,L1,2,calendar-analog and ridge ensemble (60/40; weights from 2017 to 2019 January weeks),2.414,1703.2,1279.8,2.41,recomputed,timestamp,"the agent's final message names forecast_jan_2020.csv and the analog-plus-ridge ensemble; recomputed 2.414 vs reported 2.41; lowest MAPE of any L1 run in either arm, and not a clean one"
sol_L1_r3,sol,L1,3,calendar-aware ridge and year-over-year analog ensemble,3.449,2350.5,1864.5,3.49,recomputed,timestamp,the agent's final message names forecast_first_week_2020.csv as the saved forecast; recomputed 3.449 vs reported WAPE 3.49
sol_L2_r1,sol,L2,1,none (asked a clarifying question and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
sol_L2_r2,sol,L2,2,none (asked a clarifying question and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
sol_L2_r3,sol,L2,3,none (presented a plan and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
sol_L3_r1,sol,L3,1,none (asked a clarifying question and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
sol_L3_r2,sol,L3,2,none (presented a plan and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
sol_L3_r3,sol,L3,3,none (presented a plan and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
gpt55_L1_r1,gpt55,L1,1,"ridge regression on log load with recursive lags, calendar features and an hour-of-week residual correction",4.201,3246.3,2268.3,4.2,recomputed,timestamp,the agent's final message names the CSV as the forecast; recomputed 4.201 vs reported 4.20
gpt55_L1_r2,gpt55,L1,2,"regularised log-load regression (trend, hour, weekday, weekday-hour, annual seasonality, first-week-of-January effects)",4.576,3096.9,2471.1,4.58,recomputed,timestamp,the agent's final message names forecast_jan2020_week1.csv; recomputed 4.576 vs reported 4.58
gpt55_L1_r3,gpt55,L1,3,calendar and seasonal baseline (recent same-weekday-hour load blended with 2017 to 2019 January analogues),9.484,5820.3,4929.1,,recomputed,timestamp,"the agent's final message names the CSV as the forecast; recomputed 9.484, nothing reported"
gpt55_L2_r1,gpt55,L2,1,none (presented a plan and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
gpt55_L2_r2,gpt55,L2,2,none (presented a plan and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
gpt55_L2_r3,gpt55,L2,3,none (presented a plan and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
gpt55_L3_r1,gpt55,L3,1,none (presented a plan and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
gpt55_L3_r2,gpt55,L3,2,"LightGBM (calendar, holiday, lag and rolling features), winner of six",3.77,,,3.77,agent_reported,,"the agent's final message and metrics.json name LightGBM as the winner at 3.77 percent; no forecast CSV exists, so the number is agent_reported and, by the code audit, leaked"
gpt55_L3_r3,gpt55,L3,3,none (presented a plan and stopped),,,,,none,,no forecast was written; the session ended on the agent's own final message with no operator present to answer (DESIGN.md section 11 (f): counted as it stands)
